CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Credits,Enrollment Actual,Enrollment Maximum
32782,ACCT,1201,Financial Accounting and Reporting,30,"Gu, Kai",MWR,1035 - 1140,TBA,TBA,4,28,44
33279,ACCT,1201,Financial Accounting and Reporting,31,"Gu, Kai",MWR,1335 - 1440,TBA,TBA,4,28,44
33281,ACCT,2301,Profit Analysis for Managers and Advisors,30,"Opare, Solomon",TF,1035 - 1215,OAK,Lucie Stern 035,4,19,28
38806,ACCT,2301,Profit Analysis for Managers and Advisors,31,"Opare, Solomon",TF,1225 - 1405,OAK,Lucie Stern 035,4,20,28
32783,ANTH,1101,Peoples and Cultures,30,"Montes, Vince",TR,1500 - 1640,TBA,TBA,4,12,35
32785,ARCH,2130,"Site, Space, Program",30,"Hirschman, Sarah",MW,1150 - 1420,TBA,TBA,6,9,11
32758,ARCH,2240,Architectonic Systems,30,"Papke, Hans",WF,0845 - 1025,TBA,TBA,4,10,25
32786,ARCH,2370,Topics in Architectural History,30,"Stewart, Alexander",TF,1035 - 1215,TBA,TBA,4,11,30
39531,ARTG,1270,Design: Process + Practices,30,"Sobieralski, Casondra",T,1225 - 1405,OAK,Vera Long 140,2,8,24
39532,ARTG,1271,Studio for Design: Process + Practices,30,"Sobieralski, Casondra",T,1500 - 1640,OAK,Vera Long 140,2,4,12
39533,ARTG,1271,Studio for Design: Process + Practices,31,"Sobieralski, Casondra",F,1500 - 1640,OAK,Vera Long 140,2,3,12
33289,ARTG,1290,Typographic Systems,30,TBA,W,1150 - 1330,OAK,Lucie Stern 027,2,5,12
39534,ARTG,1291,Studio for Typographic Systems,30,TBA,W,1500 - 1640,OAK,Aron Art Center E Painting 166,2,5,12
34160,ARTG,1291,Studio for Typographic Systems,31,TBA,W,1800 - 1940,OAK,Aron Art Center E Painting 166,2,0,12
33810,ARTF,1210,Abstract Drawing,30,"Pinkusevich, Yulia",T,1035 - 1215,OAK,Aron Art Center E Painting 166,2,12,12
33820,ARTF,1220,Elements of Visual Composition,30,"Pinkusevich, Yulia",T,1225 - 1405,OAK,Aron Art Center E Painting 166,2,5,12
33830,ARTF,1230,Making with Form and Materials,30,"Sobieralski, Casondra",R,1035 - 1215,OAK,Aron Art Center C Ceramics 183,2,1,12
39502,ARTF,1240,"Making with Video, Sound, and Animation",30,"Lee, Clifford",F,1225 - 1405,OAK,Aron Art Center F Photography 153,2,13,16
39530,ARTD,2360,Introduction to Photography,30,TBA,M,1615 - 1945,OAK,Aron Art Center F Photography 141,4,12,12
37607,BINF,6200,Bioinformatics Programming,07,"Bowser, Bradley",R,1800 - 2120,TBA,TBA,4,3,25
37614,BINF,6310,Introduction to Bioinformatics,05,"Miller, Nicholas",W,1800 - 2120,TBA,TBA,4,4,25
37623,BINF,6420,Omics in Bioinformatics,03,"Miller, Nicholas",T,1800 - 2120,TBA,TBA,4,4,25
32753,BIOL,1113,General Biology 2,30,"Fowler, Melinda",MWR,1035 - 1140,TBA,TBA,4,64,72
32754,BIOL,1114,Lab for BIOL 1113,30,"Betts-Ng, Charlene",T,0800 - 1050,TBA,TBA,1,10,24
32916,BIOL,1114,Lab for BIOL 1113,31,"Betts-Ng, Charlene",T,1150 - 1440,TBA,TBA,1,24,24
33489,BIOL,1114,Lab for BIOL 1113,33,"Betts-Ng, Charlene",R,1150 - 1440,TBA,TBA,1,16,24
34552,BIOL,1114,Lab for BIOL 1113,35,"Betts-Ng, Charlene",W,1150 - 1440,TBA,TBA,1,7,24
33294,BIOL,2299,Inquiries:Globl Change Ecology,30,"Swope, Sarah",MW,1150 - 1330,TBA,TBA,4,22,22
34151,BIOL,2299,Inquiries in Biological Sciences,33,"Phong, Connie",TR,1500 - 1640,TBA,TBA,4,12,22
39565,BIOL,2299,Inquiries in Biological Sciences,35,"Phong, Connie",MW,1150 - 1330,TBA,TBA,4,6,22
34152,BIOL,2301,Genetics and Molecular Biology,04,"Young, Jared",MW,1150 - 1330,TBA,TBA,4,34,36
34153,BIOL,2302,Lab for BIOL 2301,19,"Young, Jared",F,1225 - 1405,TBA,TBA,1,24,36
39824,BIOL,2302,Lab for BIOL 2301,20,"Young, Jared",W,1500 - 1720,TBA,TBA,1,6,20
39566,BIOL,3413,ST: Marine Mammals,01,"Fowler, Melinda",MWR,1335 - 1440,TBA,TBA,4,23,40
37640,BIOT,5145,Biotechnology Lab Skills,06,"Gaidarenko, Olga",M; M; M; M,1200 - 1600; 1200 - 1600; 1200 - 1600; 1200 - 1600,OAK; OAK; OAK; OAK,Natural Science 101; Natural Science 101; Natural Science 101; Natural Science 101,1,2,16
37683,BIOT,5621,Protein Principles in Biotechnology,10,"Louie, Maggie",R,1800 - 2030,TBA,TBA,3,3,30
37703,BIOT,5750,Molecular Approaches in Biotechnology,10,"Gilmore, Sean",T,1800 - 2030,TBA,TBA,3,4,30
37719,BIOT,6214,Experimental Design and Biostatistics,08,"Gaidarenko, Olga",W,1800 - 2000,TBA,TBA,2,4,30
