Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Spring 2026 Semester,202630,32782,ACCT,1201,Financial Accounting and Reporting,30,"Gu, Kai",MWR,1035 - 1140,TBA,TBA,Traditional,4,28,44
Spring 2026 Semester,202630,33279,ACCT,1201,Financial Accounting and Reporting,31,"Gu, Kai",MWR,1335 - 1440,TBA,TBA,Traditional,4,29,44
Spring 2026 Semester,202630,33281,ACCT,2301,Profit Analysis for Managers and Advisors,30,"Opare, Solomon",TF,1035 - 1215,OAK,Lucie Stern 035,Traditional,4,19,28
Spring 2026 Semester,202630,38806,ACCT,2301,Profit Analysis for Managers and Advisors,31,"Opare, Solomon",TF,1225 - 1405,OAK,Lucie Stern 035,Traditional,4,20,28
Spring 2026 Semester,202630,32783,ANTH,1101,Peoples and Cultures,30,"Montes, Vince",TR,1500 - 1640,TBA,TBA,Traditional,4,13,35
Spring 2026 Semester,202630,32785,ARCH,2130,"Site, Space, Program",30,"Hirschman, Sarah",MW,1150 - 1420,XCR,Unidentified campus ROOM,Traditional,6,9,11
Spring 2026 Semester,202630,32758,ARCH,2240,Architectonic Systems,30,"Papke, Hans",WF,0845 - 1025,XCR,Unidentified campus ROOM,Traditional,4,10,25
Spring 2026 Semester,202630,32786,ARCH,2370,Topics in Architectural History,30,"Stewart, Alexander",TF,1035 - 1215,XCR,Unidentified campus ROOM,Traditional,4,12,30
Spring 2026 Semester,202630,39531,ARTG,1270,Design: Process + Practices,30,"Sobieralski, Casondra",T,1225 - 1405,OAK,Vera Long 140,Traditional,2,10,24
Spring 2026 Semester,202630,39532,ARTG,1271,Studio for Design: Process + Practices,30,"Sobieralski, Casondra",T,1500 - 1640,OAK,Vera Long 140,Traditional,2,5,12
Spring 2026 Semester,202630,39533,ARTG,1271,Studio for Design: Process + Practices,31,"Sobieralski, Casondra",F,1500 - 1640,OAK,Vera Long 140,Traditional,2,4,12
Spring 2026 Semester,202630,33289,ARTG,1290,Typographic Systems,30,TBA,W,1150 - 1330,OAK,Lucie Stern 027,Traditional,2,6,12
Spring 2026 Semester,202630,39534,ARTG,1291,Studio for Typographic Systems,30,TBA,W,1500 - 1640,OAK,Aron Art Center E Painting 166,Traditional,2,6,12
Spring 2026 Semester,202630,34160,ARTG,1291,Studio for Typographic Systems,31,TBA,W,1800 - 1940,OAK,Aron Art Center E Painting 166,Traditional,2,0,12
Spring 2026 Semester,202630,33810,ARTF,1210,Abstract Drawing,30,"Pinkusevich, Yulia",T,1035 - 1215,OAK,Aron Art Center E Painting 166,Traditional,2,12,12
Spring 2026 Semester,202630,33820,ARTF,1220,Elements of Visual Composition,30,"Pinkusevich, Yulia",T,1225 - 1405,OAK,Aron Art Center E Painting 166,Traditional,2,6,12
Spring 2026 Semester,202630,33830,ARTF,1230,Making with Form and Materials,30,"Sobieralski, Casondra",R,1500 - 1640,OAK,Aron Art Center C Ceramics 183,Traditional,2,2,12
Spring 2026 Semester,202630,39502,ARTF,1240,"Making with Video, Sound, and Animation",30,"Lee, Clifford",F,1225 - 1405,OAK,Aron Art Center F Photography 153,Traditional,2,13,16
Spring 2026 Semester,202630,39530,ARTD,2360,Introduction to Photography,30,TBA,M,1615 - 1945,OAK,Aron Art Center F Photography 141,Traditional,4,12,12
Spring 2026 Semester,202630,37607,BINF,6200,Bioinformatics Programming,07,"Bowser, Bradley",R,1800 - 2120,TBA,TBA,Traditional,4,3,25
Spring 2026 Semester,202630,37614,BINF,6310,Introduction to Bioinformatics,05,"Miller, Nicholas",W,1800 - 2120,TBA,TBA,Traditional,4,4,25
Spring 2026 Semester,202630,37623,BINF,6420,Omics in Bioinformatics,03,"Miller, Nicholas",T,1800 - 2120,TBA,TBA,Traditional,4,4,25
Spring 2026 Semester,202630,32753,BIOL,1113,General Biology 2,30,"Fowler, Melinda",MWR,1035 - 1140,TBA,TBA,Traditional,4,64,72
Spring 2026 Semester,202630,32754,BIOL,1114,Lab for BIOL 1113,30,"Betts-Ng, Charlene",T,0800 - 1050,OAK,Natural Science 181,Traditional,1,10,24
Spring 2026 Semester,202630,32916,BIOL,1114,Lab for BIOL 1113,31,"Betts-Ng, Charlene",T,1150 - 1440,OAK,Natural Science 181,Traditional,1,24,24
Spring 2026 Semester,202630,33489,BIOL,1114,Lab for BIOL 1113,33,"Betts-Ng, Charlene",R,1150 - 1440,OAK,Natural Science 181,Traditional,1,17,24
Spring 2026 Semester,202630,34552,BIOL,1114,Lab for BIOL 1113,35,"Betts-Ng, Charlene",W,1150 - 1440,OAK,Natural Science 181,Traditional,1,8,24
Spring 2026 Semester,202630,33294,BIOL,2299,Inquiries:Globl Change Ecology,30,"Swope, Sarah",MW,1150 - 1330,TBA,TBA,Traditional,4,22,22
Spring 2026 Semester,202630,34151,BIOL,2299,Inquiries in Biological Sciences,33,"Phong, Connie",TR,1500 - 1640,TBA,TBA,Traditional,4,12,22
Spring 2026 Semester,202630,39565,BIOL,2299,Inquiries in Biological Sciences,35,"Phong, Connie",MW,1150 - 1330,TBA,TBA,Traditional,4,7,22
Spring 2026 Semester,202630,34152,BIOL,2301,Genetics and Molecular Biology,04,"Young, Jared",MW,1150 - 1330,TBA,TBA,Traditional,4,35,36
Spring 2026 Semester,202630,34153,BIOL,2302,Lab for BIOL 2301,19,"Young, Jared",F,1225 - 1405,OAK,Natural Science 212,Traditional,1,25,36
Spring 2026 Semester,202630,39824,BIOL,2302,Lab for BIOL 2301,20,"Young, Jared",W,1500 - 1720,OAK,Natural Science 171,Traditional,1,6,20
Spring 2026 Semester,202630,39566,BIOL,3413,ST: Marine Mammals,01,"Fowler, Melinda",MWR,1335 - 1440,TBA,TBA,Traditional,4,23,40
Spring 2026 Semester,202630,37640,BIOT,5145,Biotechnology Lab Skills,06,"Gaidarenko, Olga",M; M; M; M,1200 - 1600; 1200 - 1600; 1200 - 1600; 1200 - 1600,OAK; OAK; OAK; OAK,Natural Science 101; Natural Science 101; Natural Science 101; Natural Science 101,Hybrid,1,2,16
Spring 2026 Semester,202630,37683,BIOT,5621,Protein Principles in Biotechnology,10,"Louie, Maggie",R,1800 - 2030,TBA,TBA,Traditional,3,3,30
Spring 2026 Semester,202630,37703,BIOT,5750,Molecular Approaches in Biotechnology,10,"Gilmore, Sean",T,1800 - 2030,TBA,TBA,Traditional,3,4,30
Spring 2026 Semester,202630,37719,BIOT,6214,Experimental Design and Biostatistics,08,"Gaidarenko, Olga",W,1800 - 2000,TBA,TBA,Traditional,2,4,30
Spring 2026 Semester,202630,39158,BUSN,4945,In-the-Field Experiential Professional Practicum,01,"Karniouchina, Ekaterina; Cooney, Magdalena",T,0845 - 1200,OAK,Graduate School of Business 109,Traditional,8,20,25
Spring 2026 Semester,202630,32757,CHEM,1161,General Chemistry for Science Majors,30,"Cassano, Jennifer",TR,1500 - 1640,TBA,TBA,Traditional,4,32,32
Spring 2026 Semester,202630,33296,CHEM,1161,General Chemistry for Science Majors,31,"Cassano, Jennifer",MW,1150 - 1330,TBA,TBA,Traditional,4,32,32
Spring 2026 Semester,202630,32762,CHEM,1162,Lab for CHEM 1161,30,"Faul, Kristina",T,1150 - 1440,OAK,Natural Science 206,Traditional,1,16,16
Spring 2026 Semester,202630,33297,CHEM,1162,Lab for CHEM 1161,31,"Faul, Kristina",F,1035 - 1325,OAK,Natural Science 206,Traditional,1,15,16
Spring 2026 Semester,202630,34108,CHEM,1162,Lab for CHEM 1161,32,"Faul, Kristina",M,1150 - 1440,OAK,Natural Science 206,Traditional,1,8,16
Spring 2026 Semester,202630,32761,CHEM,2311,Organic Chemistry 1,30,"Thomas, William",MWF,1500 - 1605,OAK,Natural Science 213,Traditional,4,60,60
Spring 2026 Semester,202630,33298,CHEM,2311,Organic Chemistry 1,31,"Thomas, William",MWF,1615 - 1720,OAK,Natural Science 213,Traditional,4,23,60
Spring 2026 Semester,202630,32764,CHEM,2312,Lab for CHEM 2311,300,"Snyder, Nicole",T,0845 - 1135,OAK,Natural Science 201,Traditional,1,16,16
Spring 2026 Semester,202630,32895,CHEM,2312,Lab for CHEM 2311,301,"Thomas, William",R,0845 - 1135,OAK,Natural Science 201,Traditional,1,16,16
Spring 2026 Semester,202630,33301,CHEM,2312,Lab for CHEM 2311,304,"Thomas, William",F,0845 - 1135,OAK,Natural Science 201,Traditional,1,16,16
Spring 2026 Semester,202630,33302,CHEM,2312,Lab for CHEM 2311,305,"Thomas, William",R,1150 - 1440,OAK,Natural Science 201,Traditional,1,16,16
Spring 2026 Semester,202630,33303,CHEM,2312,Lab for CHEM 2311,306,"Snyder, Nicole",T,1150 - 1440,OAK,Natural Science 201,Traditional,1,16,16
