Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Fall 2026 Semester,202710,13413,ACCT,1201,Financial Accounting and Reporting,32,"Gu, Kai",TR,1500 - 1640,OAK,Natural Science 213,Traditional,4,44,44
Fall 2026 Semester,202710,13414,ACCT,1201,Financial Accounting and Reporting,33,"Gu, Kai",TF,1035 - 1215,OAK,Natural Science 215,Traditional,4,40,40
Fall 2026 Semester,202710,13972,ACCT,1201,Financial Accounting and Reporting,36,"Gu, Kai",TF,1225 - 1405,OAK,Graduate School of Business 117,Traditional,4,43,43
Fall 2026 Semester,202710,24803,ACCT,1201,Financial Accounting and Reporting,47,"Beichner, William",MW,1730 - 1910,OAK,Natural Science 212,Traditional,4,36,36
Fall 2026 Semester,202710,22888,ALY,6105,Introduction to Applied Statistics,05,"Chen, Judy",M,1800 - 2045,OAK,CPM 102,Hybrid,3,3,30
Fall 2026 Semester,202710,22898,ALY,6115,Foundations of Data Analytics,05,"Tellner, Thomas",M,1800 - 2045,OAK,CPM 102,Hybrid,3,3,30
Fall 2026 Semester,202710,24385,AAI,6600,Applied Artificial Intelligence,10,"Glozman, Tatiana",T,1800 - 1920,OAK,CPM 101,Live Cast,3,2,30
Fall 2026 Semester,202710,24386,AAI,6620,Applied Natural Language Processing,09,"Gupta, Pramod",R,1800 - 1920,OAK,Graduate School of Business 109,Live Cast,3,2,30
Fall 2026 Semester,202710,16629,ARCH,1110,Fundamental Architectural Representation,30,"Hirschman, Sarah",WF,0845 - 1025,OAK,Aron Art Center C Ceramics 183,Traditional,4,7,24
Fall 2026 Semester,202710,16630,ARCH,1120,Fundamental Architectural Design,30,"Papke, Hans",TF,1145 - 1515,OAK,Aron Art Center F Photography 153,Traditional,6,2,12
Fall 2026 Semester,202710,12927,ARCH,1310,"Buildings and Cities, A Global History",30,"Stewart, Alexander",MW,1150 - 1330,OAK,Lucie Stern 006,Traditional,4,9,17
Fall 2026 Semester,202710,14233,ARCH,1311,Recitation for ARCH 1310,31,"Hirschman, Sarah",TBA,TBA,TBA,TBA,Traditional,TBA,9,36
Fall 2026 Semester,202710,12930,ARTG,1001,Design Perspectives: An Introduction to Design in the World,30,"Sobieralski, Casondra",T,1225 - 1405,OAK,Vera Long 140,Traditional,2,24,24
Fall 2026 Semester,202710,12933,ARTG,1002,Seminar for Design Perspectives,30,"Sobieralski, Casondra",R,1225 - 1405,OAK,Vera Long 140,Traditional,2,12,12
Fall 2026 Semester,202710,20773,ARTG,1002,Seminar for Design Perspectives,31,"Sobieralski, Casondra",T,1500 - 1640,OAK,Aron Art Center F Photography 141,Traditional,2,12,12
Fall 2026 Semester,202710,14186,ARTF,1200,Representational Drawing,30,"Pinkusevich, Yulia",T,1035 - 1215,OAK,Aron Art Center E Painting 166,Traditional,2,12,12
Fall 2026 Semester,202710,14188,ARTF,1220,Elements of Visual Composition,30,"Sobieralski, Casondra",R,1035 - 1215,OAK,Vera Long 140,Traditional,2,12,12
Fall 2026 Semester,202710,14189,ARTF,1220,Elements of Visual Composition,31,"Pinkusevich, Yulia",T,1225 - 1405,OAK,Aron Art Center E Painting 166,Traditional,2,12,12
Fall 2026 Semester,202710,14190,ARTF,1220,Elements of Visual Composition,32,"Greer, Larissa",R,1500 - 1640,OAK,Aron Art Center E Painting 166,Traditional,2,12,12
Fall 2026 Semester,202710,14191,ARTF,1230,Making with Form and Materials,30,"Pinkusevich, Yulia",R,1035 - 1215,OAK,Aron Art Center E Painting 166,Traditional,2,8,12
Fall 2026 Semester,202710,19063,ARTF,1250,Designing Interactive Experiences,30,"Greer, Larissa",W,1225 - 1405,OAK,Aron Art Center E Painting 166,Traditional,2,11,24
Fall 2026 Semester,202710,22018,ARTF,1975,Ceramics: Wheel Throwing,31,TBA,F,1000 - 1300,OAK,Aron Art Center C Ceramics 179,Traditional,1,5,8
Fall 2026 Semester,202710,22019,ARTF,1975,Product Design Software,32,TBA,F,0845 - 1140,OAK,Aron Art Center F Photography 153,Traditional,1,1,12
Fall 2026 Semester,202710,22020,ARTF,1975,Cameraless Photo B/W,33,TBA,W,1615 - 1900,OAK,Aron Art Center F Photography 153,Traditional,1,2,12
Fall 2026 Semester,202710,25154,ARTF,1975,Ceramics: Wheel Throwing,34,TBA,F,1000 - 1300,OAK,Aron Art Center C Ceramics 179,Traditional,1,3,8
Fall 2026 Semester,202710,14788,BINF,6200,Bioinformatics Programming,08,"Bowser, Bradley",T,1800 - 2120,OAK,CPM 102,Traditional,4,1,25
Fall 2026 Semester,202710,24480,BINF,6250,Algorithmic Foundations in Bioinformatics,03,"Sherman, Marcus",W,1400 - 1630,OAK,Mills Hall 318,Live Cast,3,2,10
Fall 2026 Semester,202710,14798,BINF,6310,Introduction to Bioinformatics,08,"Miller, Nicholas",W,1800 - 2120,OAK,Lucie Stern 035,Traditional,4,1,25
Fall 2026 Semester,202710,21922,BINF,6400,Genomics in Bioinformatics,06,"Mehr, Shaadi",R,1800 - 2120,OAK,Mills Hall 132,Traditional,4,7,10
Fall 2026 Semester,202710,12898,BIOL,1111,General Biology 1,30,"Fowler, Melinda",MWR,1035 - 1140,OAK,Lucie Stern 107,Traditional,4,69,70
Fall 2026 Semester,202710,12925,BIOL,1111,General Biology 1,31,"Phong, Connie",MWR,1335 - 1440,OAK,Lucie Stern 107,Traditional,4,49,70
Fall 2026 Semester,202710,12960,BIOL,1111,General Biology 1,32,"Phong, Connie",MWF,1500 - 1605,OAK,Lucie Stern 100,Traditional,4,94,100
Fall 2026 Semester,202710,25241,BIOL,1112,Lab for BIOL 1111,22,TBA,F,0800 - 1050,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,25240,BIOL,1112,Lab for BIOL 1111,23,TBA,T,0800 - 1050,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,12899,BIOL,1112,Lab for BIOL 1111,30,"Betts-Ng, Charlene",M,1150 - 1440,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,12954,BIOL,1112,Lab for BIOL 1111,31,"Betts-Ng, Charlene",W,1150 - 1440,OAK,Natural Science 181,Traditional,1,23,24
Fall 2026 Semester,202710,12955,BIOL,1112,Lab for BIOL 1111,32,"Betts-Ng, Charlene",R,1150 - 1440,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,12956,BIOL,1112,Lab for BIOL 1111,33,"Betts-Ng, Charlene",R,0800 - 1050,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,12965,BIOL,1112,Lab for BIOL 1111,34,"Betts-Ng, Charlene",M,0800 - 1050,OAK,Natural Science 181,Traditional,1,18,24
Fall 2026 Semester,202710,12966,BIOL,1112,Lab for BIOL 1111,35,"Betts-Ng, Charlene",W,0800 - 1050,OAK,Natural Science 181,Traditional,1,21,24
Fall 2026 Semester,202710,14404,BIOL,1112,Lab for BIOL 1111,36,"Betts-Ng, Charlene",T,1150 - 1440,OAK,Natural Science 181,Traditional,1,24,24
Fall 2026 Semester,202710,19342,BIOL,2299,Inquiries in Biological Sciences,14,"Swope, Sarah",TR,1500 - 1640,OAK,Vera Long 140,Traditional,4,15,24
Fall 2026 Semester,202710,19343,BIOL,2299,Inquiries in Biological Sciences,15,"Fowler, Melinda",WF,0845 - 1025,OAK,Natural Science 215,Traditional,4,28,30
Fall 2026 Semester,202710,19531,BIOT,5120,Foundations in Biotechnology,11,"Kumar, Praveen",T,1800 - 2030,OAK,Graduate School of Business 109,Traditional,3,3,20
Fall 2026 Semester,202710,19532,BIOT,5219,The Biotechnology Enterprise,14,"LACY, SUSAN",W,1800 - 2000,OAK,Mills Hall 135,Traditional,2,4,20
Fall 2026 Semester,202710,19533,BIOT,5401,Scientific Communication and Problem Solving in Biotechnology,16,"Gilmore, Sean",R,1800 - 2030,OAK,Lucie Stern 006,Traditional,3,3,16
Fall 2026 Semester,202710,14866,BIOT,5630,Cell Culture Applications for Biopharmaceuticals,06,"Tiwari, Shiv",T,1800 - 2000,OAK,Vera Long 140,Traditional,2,4,20
Fall 2026 Semester,202710,21938,BIOT,7245,Biotechnology Applications Laboratory,08,"Kategaya, Lorn",W,1730 - 2130,OAK,Natural Science 101,Traditional,3,4,14
Fall 2026 Semester,202710,22955,BUSN,1103,Professional Development for Business Co-op,28,"Cooney, Magdalena",W,1640 - 1745,OAK,Natural Science 217,Traditional,1,13,20
